acronym,spell_out,variation
SIS,simulated in situ (SIS),
HLY-02-03-023,,
HLY-02-03-021,,
OPP-9907541,,
AGGPS,,
XIV/2,,
Long-EZ,,
HLY-04-04,,
CDs,,
HLY-04-02,,
CAFS,CCD Actinic Flux Spectroradiometers (CAFS),
EOL,,
EOS,,
DEM-derived,,
DDS-3,,
NSF-funded,,
CR,community respiration (CR),CR (community respiration)||
CPR,"Continuous Plankton Recorder
",
SIO,,
AGR,Arctic Global Radiation (AGR),
TOGA,Trace Organic Gas Analyzer (TOGA),
ITUM,integrated terrain unit mapping (ITUM),
OOG-gi-a-nak-took,,
INSTAAR,Institute of Arctic and Alpine Research (INSTAAR),
TAR,,
HLY-07-01,,
SCICEX,Scientific Ice Expeditions (SCICEX),SCICEX||
NPRB,North Pacific Research Board (NPRB),
BEST-BSIERP,Bering Sea Ecosystem Study-Bering Sea Integrated Ecosystem Research Program (BEST-BSIERP),
SEDNA,Sea Ice Experiment - Dynamic Nature of the Arctic (SEDNA),
TAB,tab-separated data format (TAB),
XBT,,
NCAR,,
ITS90,,
UAF,University of Alaska Fairbanks (UAF),
GIS,,
EHS,East Hanna Shoal (EHS),
POSMV,,
HLY-02-03-018,,
BESTMAS,,
HLY-02-01,,
AVHRR-NDVI,,
AVHHR,,
GIF,,
GE,,
GC,,
GB,,
NE,,
XCTD,"expendable conductivity, temperature, depth (XCTD)",Expendable Conductivity Temperature and Depth (XCTD)||
OPP-9531220,,
SQL:,,
'TRUE',,
MAT,,
ABPR,,
GeoTIFF,,
RASS,Radio Acoustic Sounding System (RASS),
PIs:,,
H2SO4,,
ASCII,,
NPP,net primary production (NPP),
BEN,BE North (BEN),
BEO,Barrow Environmental Observatory (BEO),
BEC,BE Central (BEC),
CMA,,
BE_,,
Arc/INFO,,
BES,BE South (BES),
TSS,Total Suspended Solids (TSS),
NO2,,
NO3,,
EASE-Grid,,
"Data
ENX",,
PAM-III,portable automated mesonet (PAM-III),
LSM,,
CAMID&gt,,
"Data
ENS",,
CE-440,,
HTML,,
PAN,Peroxy Acetyl Nitrate (PAN),Peroxy acetyl nitrate (PAN)||
NBP0304A,,
DIPS,Digital Ice Profiling System (DIPS),
FTP,,
SHEBA_ALLTAXA,,
NOAA-12/14,,
RIMS,Rapid Integrated Monitoring System (RIMS),
1-TF,,
ARCMIP,Arctic Regional Climate Model Intercomparison Project (ARCMIP),
