project,archive_ident,title,columns,defalut_value
ARCSS,106.303,HLY08-03 Physiological and Biochemical Characteristics of Krill,summary,
ATLAS,46.796,CALM Home Page,summary,
ATLAS,46.804,Satellite Data Resources,summary,
ATLAS,46.805,Surface Meteorological Data Resources,summary,
ATLAS,46.795,"Large Area Estimates of Carbon Fluxes of Arctic Landscapes [Oechel, W., A. Hope, D. Stow]",summary,
SHEBA,13.804,"NCAR C-130 Observations [Curry, J.]",summary,
SHEBA,13.805,"AVHRR Polar Pathfinder 5-km regional products [Fowler, C., T. Arbetter, J. Key, J. Maslanik, S. Drobot, R. Kwok]",summary,
SHEBA,13.806,"Satellite AVHRR Polar Pathfinder 5-km regional products [Fowler, C., T. Arbetter, J. Key, J. Maslanik, S. Drobot, R. Kwok]",summary,
SHEBA,13.807,"Satellite AVHRR Polar Pathfinder 5-km SHEBA drift track products [Fowler, C., T. Arbetter, J. Key, J. Maslanik, S. Drobot, R. Kwok]",summary,
SHEBA,13.808,"Satellite AVHRR-derived cloud and radiation data (CASPR) [Fowler, C., T. Arbetter, J. Key, J. Maslanik, S. Drobot, R. Kwok]",summary,
SHEBA,13.809,"Satellite EASE gridded SSM/I-derived ice concentrations [Fowler, C., T. Arbetter, J. Key, J. Maslanik, S. Drobot, R. Kwok]",summary,
SHEBA,13.810,"Satellite EASE gridded remotely-sensed ice motion fields [Fowler, C., T. Arbetter, J. Key, J. Maslanik, S. Drobot, R. Kwok]",summary,
SHEBA,13.811,"EASE gridded NCEP fields - Statistical summaries of climatological variables [Fowler, C., T. Arbetter, J. Key, J. Maslanik, S. Drobot, R. Kwok]",summary,
SHEBA,13.815,"Ice Thickness Distributions from SCICEX 97 cruise [Yu, Y.]",summary,
ACADIS,999.test.xml.1,Test dataset for ACADIS XML,begin_date,1750-01-01 00:00:00
ATLAS,46.797,"Tree Growth Plots from Fox River Sites [Lloyd, A.]",begin_date,1750-01-01 00:00:00
ATLAS,46.798,"Tree Growth Plots from Bear Creek Sites [Lloyd, A.]",begin_date,1750-01-01 00:00:00
ATLAS,46.799,"Tree Data: Aged Structure Plots from 2 Bear Creek Sites [Lloyd, A.]",begin_date,1750-01-01 00:00:00
ATLAS,46.801,"Tree Growth Plots from Dry Mystery Creek Sites [Lloyd, A.]",begin_date,1750-01-01 00:00:00
ATLAS,46.802,"Tree Data: Aged Structure Plots from Fox River Sites [Lloyd, A.]",begin_date,1750-01-01 00:00:00
ATLAS,46.803,"Tree Growth Plots from Grasshopper Hill Sites [Lloyd, A.]",begin_date,1750-01-01 00:00:00
ACADIS,999.test.xml.1,Test dataset for ACADIS XML,end_date,9999-12-31 23:59:59
ARCSS,106.303,HLY08-03 Physiological and Biochemical Characteristics of Krill,end_date,9999-12-31 23:59:59
ACADIS,999.test.xml.1,Test dataset for ACADIS XML,minimum_latitude,-90.00000
ARCSS,106.ARCSS169,"Collaborative Research: Spatial and Temporal Variability of Ground Temperature and Thaw, Northern Alaska",minimum_latitude,-90.00000
ARCSS,106.ARCSS138,Global Snow-Water-Equivalent Depth Coefficient-of-Variation Classification,minimum_latitude,-90.00000
ARCSS,106.ARCSS045,Global Seasonal Snow Classification System,minimum_latitude,-90.00000
ARCSS,106.303,HLY08-03 Physiological and Biochemical Characteristics of Krill,minimum_latitude,-90.00000
ATLAS,46.740,"Estimates of Large-Scale Fluxes in High Latitudes [Dargaville, R.]",minimum_latitude,-90.00000
ATLAS,46.756,"Evaluation of Terrestrial Carbon Cycle Models [Dargaville, R.]",minimum_latitude,-90.00000
ACADIS,102.254,HLY-07-02 Profiles of photosynthetically active radiation (PAR),minimum_longitude,-180.00000
ACADIS,106.331,Effect of a warming climate on Arctic shelf and basin Calanus populations: implications for Pan-Arctic ecosystem dynamics,minimum_longitude,-180.00000
ACADIS,106.340,"Arctic snow black carbon concentrations, and absorption by other light-absorbing aerosol",minimum_longitude,-180.00000
ACADIS,106.342,HOTRAX 2005 sediment core HLY0503-8JPC,minimum_longitude,-180.00000
ACADIS,106.404,"ECCO2 model Arctic Domain, 18km",minimum_longitude,-180.00000
ACADIS,106.405,"ECCO2 model Arctic Domain, 4km",minimum_longitude,-180.00000
ACADIS,106.406,SBI Cruise HLY0201 merged bottle dataset,minimum_longitude,-180.00000
ACADIS,106.409,SBI Cruise HLY0403 merged bottle dataset,minimum_longitude,-180.00000
ACADIS,106.408,SBI Cruise HLY0402 merged bottle dataset,minimum_longitude,-180.00000
ACADIS,106.396,Arctic Infrared Satellite Composite Imagery,minimum_longitude,-180.00000
ACADIS,106.397,Arctic Longwave Infrared Satellite Composite Imagery,minimum_longitude,-180.00000
ACADIS,106.398,Arctic Shortwave Infrared Satellite Composite Imagery,minimum_longitude,-180.00000
ACADIS,106.399,Arctic Water Vapor Channel Satellite Composite Imagery,minimum_longitude,-180.00000
ACADIS,106.411,TOVS-Derived Downwelling Surface Longwave Radiation in the Arctic 1979-2005,minimum_longitude,-180.00000
ACADIS,106.410,SBI Cruise NBP03-04a merged bottle dataset,minimum_longitude,-180.00000
ACADIS,106.407,SBI Cruise HLY0203 merged bottle dataset,minimum_longitude,-180.00000
ACADIS,106.413,Arctic Visible Band Satellite Composite Imagery,minimum_longitude,-180.00000
ACADIS,106.414,"Methane ebullition flux data from thermokarst lakes, 2003-2010",minimum_longitude,-180.00000
ACADIS,999.test.xml.1,Test dataset for ACADIS XML,minimum_longitude,-180.00000
ARC-MIP,61.001,ARCMIP: Atmospheric Initial and Boundary Conditions (Cassano),minimum_longitude,-180.00000
ARC-MIP,61.002,ARCMIP: CASPR-ARCMIP 1997 Dataset (Curry),minimum_longitude,-180.00000
ARC-MIP,61.003,ARCMIP: CASPR-ARCMIP 1998 Dataset (Curry),minimum_longitude,-180.00000
ARC-MIP,61.004,ARCMIP: ISCCP Cloud and Radiative Flux in 50km ARCMIP-EASE Grid (Curry),minimum_longitude,-180.00000
ARC-MIP,61.005,ARCMIP: CASPR-ARCMIP EASE GRID Data (Curry),minimum_longitude,-180.00000
ARC-MIP,61.006,ARCMIP: EASE-Grid Model Data,minimum_longitude,-180.00000
ARC-MIP,61.007,ARCMIP: CASPR-ISCCP EASE-Grid Data,minimum_longitude,-180.00000
ARCSS,106.ARCSS062,"R-ArcticNet: A Regional, Electronic, Hydrographic Data Network for the Arctic Region",minimum_longitude,-180.00000
ARCSS,106.ARCSS169,"Collaborative Research: Spatial and Temporal Variability of Ground Temperature and Thaw, Northern Alaska",minimum_longitude,-180.00000
ARCSS,106.ARCSS138,Global Snow-Water-Equivalent Depth Coefficient-of-Variation Classification,minimum_longitude,-180.00000
ARCSS,106.214,TOVS Polar Pathfinder (Path-P) Derived Arctic Winds,minimum_longitude,-180.00000
ARCSS,106.ARCSS003,"Arctic Cyclone Track Data Set, 1966-1993",minimum_longitude,-180.00000
ARCSS,106.ARCSS016,ETOP05 Elevation Data for Areas Greater than 50 degrees North,minimum_longitude,-180.00000
ARCSS,106.ARCSS030,Model Output from the Arctic Region Climate System Model (ARCSyM),minimum_longitude,-180.00000
ARCSS,106.ARCSS045,Global Seasonal Snow Classification System,minimum_longitude,-180.00000
ARCSS,106.ARCSS050,Model Output From the 'Frost Index' Permafrost Model: Variations in Circumpolar Frozen Ground Conditions and Modeled Future Conditions,minimum_longitude,-180.00000
ARCSS,106.ARCSS066,Arctic Global Radiation (AGR) Data Set,minimum_longitude,-180.00000
ARCSS,106.ARCSS070,"SCICEX Dissolved Barium Data, 1993-1997",minimum_longitude,-180.00000
ARCSS,106.ARCSS075,Modeled Carbon Responses of Tundra Ecosystems to Historical and Projected Climate,minimum_longitude,-180.00000
ARCSS,106.ARCSS077,Physical and Chemical Properties from Selected Expeditions in the Arctic Ocean,minimum_longitude,-180.00000
ARCSS,106.ARCSS149,"Estimates of  Sea Ice Floe Velocities Characterizing Whaling Seasons Using Satellite Imagery of the Chukchi and Beaufort Seas, Spring 2000 and 2001",minimum_longitude,-180.00000
ARCSS,106.ARCSS158,"Model Output of Active Layer Depth in the Arctic Drainage Basin, 1979-2001",minimum_longitude,-180.00000
ARCSS,106.238,ArcticRIMS: Daily Precipitation From Monthly Station Records And Disaggregation,minimum_longitude,-180.00000
ARCSS,106.239,ArcticRIMS: Daily Precipitation From Statistical Reconstructions,minimum_longitude,-180.00000
ARCSS,106.242,ArcticRIMS: NCEP Reanalysis Vapor Pressure,minimum_longitude,-180.00000
ARCSS,106.243,ArcticRIMS: NCEP Reanalysis ShortWaveUp Radiation,minimum_longitude,-180.00000
ARCSS,106.244,ArcticRIMS: NCEP Reanalysis Wind Direction,minimum_longitude,-180.00000
ARCSS,106.245,ArcticRIMS: NCEP Reanalysis Wind Speed,minimum_longitude,-180.00000
ARCSS,106.ARCSS161,"ArcticRIMS: A Regional, Integrated Hydrological Monitoring System for the Pan-Arctic Landmass",minimum_longitude,-180.00000
ARCSS,106.247,ArcticRIMS: NCEP Reanalysis ShortWaveNet Radiation,minimum_longitude,-180.00000
