archieve_ident,title,classification,platform
98.009,1991 CaPE NetCDF Data,1991 CaPE,"Aircraft, SDSMT T-28"
98.015,1991 COPS KTLX WSR-88D Level II Radar Data,1991 COPS,
98.039,1991 COPS Raw Flight Data,1991 COPS,"Aircraft, SDSMT T-28"
98.040,1991 COPS NetCDF Data,1991 COPS,"Aircraft, SDSMT T-28"
98.010,1992 RAPS NetCDF Data,1992 RAPS,"Aircraft, SDSMT T-28"
98.023,1992 RAPS CHILL S-Band Weather Radar Data,1992 RAPS,"Radar, Surface mobile"
98.038,1992 RAPS Raw Flight Data,1992 RAPS,"Aircraft, SDSMT T-28"
98.026,1993 NDTE UND Polarimetric Radar Data,1993 NDTE,"Radar, Surface mobile"
98.027,1993 NDTE NetCDF Data,1993 NDTE,"Aircraft, SDSMT T-28"
98.037,1993 NDTE Raw Flight Data,1993 NDTE,"Aircraft, SDSMT T-28"
98.011,1994 VORTEX NetCDF Data,1994 VORTEX,"Aircraft, SDSMT T-28"
98.017,1994 VORTEX KTLX WSR-88D Level II Radar Data,1994 VORTEX,
98.036,1994 VORTEX Raw Flight Data,1994 VORTEX,"Aircraft, SDSMT T-28"
98.012,1995 VORTEX NetCDF Data,1995 VORTEX,"Aircraft, SDSMT T-28"
98.016,1995 VORTEX KTLX WSR-88D Level III Radar Data,1995 VORTEX,
98.018,1995 VORTEX KTLX WSR-88D Level II Radar Data,1995 VORTEX,
98.025,1995 VORTEX CHILL S-Band Weather Radar Data,1995 VORTEX,"Radar, Surface mobile"
98.035,1995 VORTEX Raw Flight Data,1995 VORTEX,"Aircraft, SDSMT T-28"
98.013,1998 TINT NetCDF Data,1998 TINT,"Aircraft, SDSMT T-28"
98.020,1998 TINT Video Data,1998 TINT,"Aircraft, SDSMT T-28"
98.024,1998 TINT CHILL S-Band Weather Radar Data,1998 TINT,"Radar, Surface mobile"
98.034,1998 TINT Raw Flight Data,1998 TINT,"Aircraft, SDSMT T-28"
98.014,1999 TCAD NetCDF Data,1999 TCAD,"Aircraft, SDSMT T-28"
98.021,1999 TCAD Video Data,1999 TCAD,"Aircraft, SDSMT T-28"
98.033,1999 TCAD Raw Flight Data,1999 TCAD,"Aircraft, SDSMT T-28"
98.001,2000 STEPS NetCDF Data,2000 STEPS,"Aircraft, SDSMT T-28"
98.005,2000 STEPS Video Data,2000 STEPS,"Aircraft, SDSMT T-28"
98.031,2000 STEPS Mobile Glass Sounding Data,2000 STEPS,
98.032,2000 STEPS Raw Flight Data,2000 STEPS,"Aircraft, SDSMT T-28"
98.003,2002 CHILL-TEX NetCDF Data,2002 CHILL-TEX,"Aircraft, SDSMT T-28"
98.007,2002 CHILL-TEX Video Data,2002 CHILL-TEX,"Aircraft, SDSMT T-28"
