project,archive_ident,title,Acronyms,Acronyms_number
ACADIS,106.230,Search Coil Magnetometer Array Data on Svalbard,ULF || ,1
ACADIS,106.335,Water temperature and bathymetric depth soundings for lakes on the North Slope of Alaska,,0
ACADIS,106.336,Ecosystem metabolism for an arctic warm spring-stream,GPP || CR || gAFDM/m2 || ,3
ACADIS,102.253,Satellite-derived polynya areas in the northern Bering Sea,EOS || AMSR-E || ,2
ACADIS,102.254,HLY-07-02 Profiles of photosynthetically active radiation (PAR),PAR || HLY0702 || USCGC || PUV-510 || ,4
ACADIS,106.337,Total and tall shrub cover on the North Slope of Alaska,IKONOS || SPOT || ERDAS || IMAGINE || GeoTIFF || ,5
ACADIS,106.338,Provenance of Holocene sediment on the Chukchi-Alaskan margin,HOTRAX || USCGC || ,2
ACADIS,106.339,"Radar Profiles and GPS Surveys, Black Rapids Glacier, Alaska",GPS || ASCII || ZIP || ,3
ACADIS,106.331,Effect of a warming climate on Arctic shelf and basin Calanus populations: implications for Pan-Arctic ecosystem dynamics,,0
ACADIS,106.332,Analyses of Fe oxide detrital grains in Arctic sediment cores,USCGC || ,1
ACADIS,106.333,Water quality data for lakes on the North Slope of Alaska,,0
ACADIS,106.334,Albedo of ice types in northeast Greenland's ablation zone,,0
ACADIS,106.340,"Arctic snow black carbon concentrations, and absorption by other light-absorbing aerosol",BC || non-BC || ,2
ACADIS,106.341,"Characterization of Potentially Jurassic-Age Mummified Organic Material, Ellesmere Island, Canada",,0
ACADIS,106.342,HOTRAX 2005 sediment core HLY0503-8JPC,HLY0503-8JPC || HOTRAX || ,2
ACADIS,106.343,Recovered Drained Thaw Lake Basins (DTLBs) on the Arctic Coastal Plain of Alaska using InSAR DEM and Remote Sensing Imagery,DTLBs || InSAR || DEM || ACP || ,4
ACADIS,106.344,DGPS Lake Shoreline Dataset from Field Survey,DGPS || ,1
ACADIS,106.345,Sea Ice Experiment: Dynamic Nature of the Arctic (SEDNA),SEDNA || NetCDF || ASCII || ,3
ACADIS,106.346,Alaskan Lake Database Mapped from Landsat Images,ETM+ || ,1
ACADIS,106.347,Landsat Derived Historical Lake Extents,USGS || MSS || TM || ETM+ || UTM || ,5
ACADIS,106.348,Near-shore Topography Transects of Barrow area Lakes,GPS || DGPS || UTM || ,3
ACADIS,106.349,Lake Water Level and Temperature from Pressure Sensors,,0
ACADIS,106.350,"Temperature, discharge and light data for Ivishak Hot Spring, Alaska",GPP || CR || gAFDM/m2 || ,3
ACADIS,106.351,"Cosmogenic 14C in Shallow Firn at Summit, Greenland",,0
ACADIS,106.352,"14C Measurements in Large-Volume Ice Samples from Pakitsoq, West Greenland",14CH4 || 14CO || 14CO2 || ,3
ACADIS,106.353,Surface (sea floor) and near-surface (box cores) sediment mineralogy in Baffin Bay,,0
ACADIS,106.354,Thermistor data from surface soils and permafrost in the Imnavait Creek watershed,,0
ACADIS,106.355,"Trace metal concentrations from surface water collected near Toolik Lake, Alaska",,0
ACADIS,106.356,"Stable oxygen and hydrogen isotope values from surface water collected near Toolik Lake, Alaska",,0
ACADIS,106.357,Observed and naturalized discharge data for large Siberian rivers,HTM || ,1
ACADIS,106.358,Nares Strait HLY03-05GC Holocene Sediment Data,HLY03-05GC || CATS || QXRD || WHOI || INSTAAR || GC: || ,6
ACADIS,106.359,Actinic Flux measurements during OASIS Barrow field intensive Spring 2009,OASIS || CCD || CAFS || TAB || ZIP || ,5
ACADIS,106.360,Aerosol measurements during OASIS Barrow field intensive Spring 2009,NCAR || PSD || OASIS || ,3
ACADIS,106.361,HO2 and RO2 measurements during OASIS Barrow field intensive Spring 2009,OASIS || HO2 || RO2 || CIMS || NO || SO2 || ,6
ACADIS,106.362,Canister sampling during OASIS Barrow field intensive Spring 2009,"VOC || AKST || TOGA || VOCs || GC-MS || GC-FID || />
PI: || ",7
ACADIS,106.363,"OH, MSA, and H2SO4 measurements during OASIS Barrow field intensive Spring 2009",OASIS || OH || MSA || H2SO4 || ,4
ACADIS,106.364,Formaldehyde measurements during OASIS Barrow field intensive Spring 2009,OASIS || ASCII || ,2
ACADIS,106.365,VOC measurements during OASIS Barrow field intensive Spring 2009,VOCs || TOGA || ,2
ACADIS,106.366,Location information and pictures of the OASIS Barrow field intensive Spring 2009,OASIS || KML || TIFF || ,3
ACADIS,106.367,OH reactivity measurements during OASIS Barrow field intensive Spring 2009,"OASIS || OH || ASCII || 
<p>OH || CIMS || ",5
ACADIS,106.368,"Ozone, NOx, and NOy measurements during OASIS Barrow field intensive Spring 2009",NOx || NOy || ASCII || ZIP || ,4
ACADIS,106.369,Peroxy acetyl nitrate measurements during OASIS Barrow field intensive Spring 2009,PAN || CIMS || ,2
ACADIS,106.370,Meteorology measurements during OASIS Barrow field intensive Spring 2009,OASIS || SATI/3K || ,2
ACADIS,106.371,Circumpolar Flaw Lead (CFL) Photosynthesis-Irradiance Experiments,CFL || CSV || ,2
ACADIS,106.372,"Underwater Acoustic Data from Yahtse Glacier, Icy Bay, Alaska","PAL || 
<p>PAL || ASCII || WAV || ",4
ACADIS,106.373,Soil microbial parameters in Alaskan tundra soil through the winter,,0
ACADIS,106.374,Original Full Resolution Timelapse Images for Columbia Glacier,ID || AK01 || AKHS2 || ,3
ACADIS,106.375,Time-corrected Low Resolution Timelapse Movies for Columbia Glacier,ID || AK01 || AKHS2 || JPEG || MJPEG || AVI || ,6
ACADIS,106.376,Time-corrected Low Resolution Timelapse Images for Columbia Glacier,ID || AK01 || AKHS2 || CAMID&gt || YYYY/MM/DD || HH:MM:SS&quot || TAR || ,7
ACADIS,106.377,Time-corrected High Resolution Timelapse Images for Columbia Glacier,ID || AK01 || AKHS2 || UTC || TAR || ,5
ACADIS,106.378,Experimental freeze down of tundra soils,LTER || ,1
ACADIS,106.379,"Digital Elevation Models for Aerial Stereographic Flights, 2002-2010",DEMs || TAR || ,2
ACADIS,106.380,"Orthorectified Mosaics for Aerial Stereographic Flights, 2002-2009",TAR || ,1
ACADIS,106.381,"Hillshade Rasters for Digital Elevation Models, 2002-2010",DEMs || TAR || ,2
ACADIS,106.382,"Aerial Photographs from Columbia Glacier, 1976-2010",JPEG || TAR || ,2
ACADIS,106.383,"Glacier Surface Velocity Fields from Columbia Glacier, 2004-2010",VEL || ORTHOs || TAR || ,3
ACADIS,106.384,Trophic Mismatch and Its Consequences for Dynamics of an Arctic Herbivore,,0
ACADIS,106.385,"Time depth recorder (TDR) data from little auks, Hornsund Fjord, Spitsbergen",CEFAS || TDRs || ,2
ACADIS,106.388,"Corticosteroid hormone measurements for adult and chick little auks in Hornsund Fjord, 2005-2008",,0
ACADIS,106.386,MALINA 2009 Dissolved Organic Matter Concentration (DOC) and Compositions,DOC || ,1
ACADIS,106.387,CFL 2008 Dissolved Organic Matter Concentration (DOC) and Compositions,DOC || CFL || ,2
ACADIS,106.400,Iceberg Sightings in the North Atlantic,ZIP || ,1
ACADIS,106.389,At-sea density of foraging little auks (Alle alle) near Hornsund Fjord,,0
ACADIS,106.401,Geochemical analyses of Icelandic tephra preserved in lake sediments,,0
ACADIS,106.390,"Zooplankton densities and biomass near Hornsund Jjord, Spitsbergen",,0
ACADIS,106.404,"ECCO2 model Arctic Domain, 18km",II || ECCO2 || MIT || MITgcm || ,4
ACADIS,106.391,"Chick diets of little auks (Alle alle) in Hornsund Fjord, Spitsbergen",,0
ACADIS,106.392,"Chick growth rates of little auks (alle alle) at Hornsund Fjord, Spitsbergen",,0
ACADIS,106.393,"Measurements of little auks (Alle alle) at Kap Hoegh, Greenland in 2007",TDR || ,1
ACADIS,106.394,TDR results from Little Auks at Kap Hoegh colony 2007,TDR || TDRs || ,2
