project,archive_ident,title,Summary
ACADIS,106.230,Search Coil Magnetometer Array Data on Svalbard,"Two-axis search coil magnetometers sample the horizontal components of Earths magnetic field at four sites on Svalbard. Norway at a rate of 10 s/sec. These data record ultra-low-frequency (ULF) oscillations in the Earth's space environment that are generated as a result of interactions and instabilities in the plasmas in the overhead ionosphere and magnetosphere. 
Note: Data have been added as of 19 December 2011."
ACADIS,106.335,Water temperature and bathymetric depth soundings for lakes on the North Slope of Alaska,"A regional assessment of thermokarst lakes across the Arctic Coastal Plain of Alaska was conducted using satellite images to detect changes in lake coverage and morphometry during the satellite era. This effort was supplemented by the use of digital aerial photographs to extend the analysis back to ~1950, and to assess temporal patterns of change. The analyses were augmented by summer field studies focused on lake evaporation, seasonal and interannual changes in fundamental lake characteristics, and collection of lake water temperature and bathymetry in three study areas. The measurement program is designed to map patterns of shoreline changes, monitor interannual variations in lake levels, and estimate energy and moisture exchange between lakes and the atmosphere. In summer 2008, lakes near Barrow were studied and instrumented. In 2009, the focus was on lakes further inland near Atqasuk. In 2010, lakes near the Arctic Coastal Plain-Arctic Foothills were studied."
ACADIS,106.336,Ecosystem metabolism for an arctic warm spring-stream,"This dataset investigated the productivity of a perennial, Arctic spring-stream. Ivishak Spring has the stable discharge (~131 L/s) and temperature (~4-8 deg C) typical for springs. It is unusual, however, in having an annual cycle of daylight from 24 hrs/d (summer) to 0 hrs/d (winter). It tested the hypothesis that stored detritus would buffer carbon limitation during winter when gross primary production (GPP) is minimized, resulting in constant rates of community respiration (CR) year-round due to constant temperatures. It used open-channel methods to measure GPP and CR monthly from March 2007 to August 2009. Mean annual GPP was 458 gC/m2. Such a level is typical for temperate desert-streams but was surprising for an Arctic stream. Annual CR (887 gC/m2) was also remarkable. The high metabolism of this stream is explained by an open canopy, moderate year-round temperatures, stable bed, and high bryophyte biomass (48 gAFDM/m2). Strong seasonal cycles of GPP were mirrored by CR (r=0.65) indicating the possibility of carbon limitation during winter. This result falsified our hypothesis that CR would be relatively stable year-round due to a detritus buffer and constant temperature 
The data are in tab delimited, and Excel spreadsheet files.

Note: these data are in process, with updates possible."
ACADIS,102.253,Satellite-derived polynya areas in the northern Bering Sea,Satellite-derived Advanced Microwave Scanning Radiometer - EOS (AMSR-E) sea ice concentrations are utilized to calculate polynya areas in the northern Bering Sea (January-April from 2003 to 2008). Three polynya regions are presented: (a) Anadyr Gulf Polynya; (b) St. Lawrence Island Polynya; and (c) Cape Romanzo Polynya. Data are in Excel (.xls) and comma delimited (.csv) format.
ACADIS,102.254,HLY-07-02 Profiles of photosynthetically active radiation (PAR),Profiles of photosynthetically active radiation (PAR) profiles are presented from the HLY0702 cruise in May-June 2007 onboard the United States Coast Guard Cutter (USCGC) Healy. Discrete downwelling PAR irradiance profiles are presented from 96 sites measured with a PUV-510 instrument (Biospherical Instruments). PAR irradiance is in units of uE/cm2/sec and depths is in units of meters. Data are in Excel (.xls) and comma delimited (.csv) format.
ACADIS,106.337,Total and tall shrub cover on the North Slope of Alaska,"To monitor changes in shrub cover, aid field studies, and inform ecosystem models, shrub cover was mapped across the North Slope of Alaska. This data set consists of maps of total and tall (1m height) shrub cover on the North Slope of Alaska, expressed in percent ground cover and at 30 m ground resolution. Images from IKONOS and SPOT satellite sensors detected tall and short shrub presences at high resolution (5 m grid cells). These were then used to train a Random Forest regression algorithm to map total and tall shrub cover, expressed as a percent of the total surface area, at 30 m resolution from a mosaic of Landsat scenes. The final shrub cover maps correspond well with field measurements (r 2 = 0.7, root mean square error = 17%, N = 24) and compared well with the existing vegetation type maps of the study area and a gridded temperature data set not used in the map generation. 
Details are given in: Beck, P. S. A., N. Horning, S. J. Goetz, M. M. Loranty, and K. Tape (2011), Shrub cover on the North Slope of Alaska: a circa 2000 baseline map, Arctic, Antarctic, and Alpine Research, 43(3), 355-363, doi: 10.1657/1938-4246-43.3.355. 
Files in both ERDAS IMAGINE Image (.img) and GeoTIFF formats are provided."
ACADIS,106.338,Provenance of Holocene sediment on the Chukchi-Alaskan margin,"This is a post-cruise research of sediment cores collected at the Chukchi Alaska margin on the first leg of Healy-Oden Trans-Arctic Expedition 2005 (HOTRAX 2005), USCGC (United States Coast Guard Cutter) Healy 0501."
ACADIS,106.339,"Radar Profiles and GPS Surveys, Black Rapids Glacier, Alaska","This data set contains radio echo-sounding profiles. These profiles were collected across the upper section of the Black Rapids Glacier, Alaska and were used to define the spatial pattern of ice thickness for this section. Surface topography was determined primarily from kinematic GPS surveys supplemented by the pressure record from the radar profiles. The data were collected from May 15, 1993 through July 15, 1993. 
The data files are plain ASCII text files exported from Matlab, packaged in a single ZIP file for delivery."
ACADIS,106.331,Effect of a warming climate on Arctic shelf and basin Calanus populations: implications for Pan-Arctic ecosystem dynamics,"This data set comprises modeling results from a project describing potential coupled biological (life history, development rates, food availability) and physical (temperature, advection) processes determining the biogeography of two Arctic copepod Calanus spp. (C. hyperboreus and C. glacialis) and two sub-Arctic copepod Calanus spp. (C. finmarchicus and C. marshallae). Scenarios of warming and a lengthened growth season (dictated by food availability) also are tested. This data set links to a web site describing the project and the model in more detail and providing access to the model output (biological and physical fields) and to a manuscript in press."
ACADIS,106.332,Analyses of Fe oxide detrital grains in Arctic sediment cores,This project analyzed high resolution sediment records from the Alaskan Arctic margin for paleoclimate. It used cores collected in both 2002 and 2005 by United States Coast Guard Cutter Healy (United States Coast Guard Cutter (USCGC) Healy). Note: Readme files for each data file are delivered with the order.
ACADIS,106.333,Water quality data for lakes on the North Slope of Alaska,"A regional assessment of thermokarst lakes across the Arctic Coastal Plain of Alaska was conducted using satellite images to detect changes in lake coverage and morphometry during the satellite era. This effort was supplemented by the use of digital aerial photographs to extend the analysis back to ~1950, and to assess temporal patterns of change. The analyses were augmented by summer field studies focused on lake evaporation, seasonal and interannual changes in fundamental lake characteristics, and collection of lake water temperature and bathymetry in three study areas. The measurement program is designed to map patterns of shoreline changes, monitor interannual variations in lake levels, and estimate energy and moisture exchange between lakes and the atmosphere. In summer 2008, lakes near Barrow were studied and instrumented. In 2009, the focus was on lakes further inland near Atqasuk. In 2010, lakes near the Arctic Coastal Plain-Arctic Foothills were studied."
ACADIS,106.334,Albedo of ice types in northeast Greenland's ablation zone,"Ice types, albedos and impurity content are characterized for the ablation zone of the Greenland ice sheet in Kronprinz Christians Land (808 N, 248 W). Along this ice margin the width of the ablation zone is only about 8 km. The emergence and melting of old ice in the ablation zone creates a surface layer of dust that was originally deposited with snowfall high on the ice sheet. This debris cover is augmented by locally derived wind-blown sediment. Subsequently, the surface dust particles often aggregate together to form centimetre-scale clumps that melt into the ice, creating cryoconite holes. The debris in the cryoconite holes becomes hidden from sunlight, raising the area-averaged albedo relative to surfaces with uniform debris cover. Spectral and broadband albedos were obtained for snow, ice hummocks, debris-covered ice, cryoconite-studded ice and barren tundra surfaces. Broadband ice albedos varied from 0.2 (for ice with heavy loading of uniform debris) to 0.6 (for ice hummocks with cryoconite holes). The cryoconite material itself has albedo 0.1 when wet."
